id,first_name,last_name,password,position,salary,role
1,amir,bernstein,33345678,teacher,456345,teacher
2,hen,biton,12345678,admin,10,admin
3,amira,bernsdtein,12345678,teacher,10,teacher
4,john,doe,12678345,teacher,10,teacher
5,jack,goldsdtein,12345443,teacher,10,teacher
6,beth,bernsdtein,12543678,teacher,10,teacher
7,sandy,klein,12345445,teacher,10,teacher
8,amira,bernsdtein,12345678,teacher,10,teacher
9,amira,bernsdtein,12345678,teacher,10,teacher
10,amira,bernsdtein,12345678,teacher,10,teacher
11,amira,bernsdtein,12345678,teacher,10,teacher
12,amira,bernsdtein,12345678,teacher,10,teacher
13,amira,bernsdtein,12345678,teacher,10,teacher
